City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,bathurst,-33.4166,149.5806,31.09,27,27,1.34,AU,1696218893
272,trairi,-3.2778,-39.2689,24.94,84,51,4.19,BR,1696218893
273,alo,7.4178,6.7371,23.45,98,100,1.19,NG,1696218893
274,saldanha,-33.0117,17.9442,14.29,58,0,3.28,ZA,1696218725
275,plympton,50.3907,-4.0602,16.93,98,100,1.59,GB,1696218893
276,sabang,5.8933,95.3214,27.95,77,24,6.19,ID,1696218789
277,ambositra,-20.5167,47.25,19.15,57,28,1.19,MG,1696218894
278,galesong,-5.3166,119.3661,34.01,61,76,4.75,ID,1696218894
279,ropar,30.9664,76.5331,28.2,42,0,2.22,IN,1696218894
280,ola,59.5833,151.2833,12.86,67,31,0.59,RU,1696218728
281,boa vista,2.8197,-60.6733,29.99,58,0,2.57,BR,1696218698
282,coxcatlan,18.2667,-97.15,19.19,89,17,1.42,MX,1696218894
283,khandud,36.9513,72.318,8.29,46,6,1.15,AF,1696218894
284,broken hill,-31.95,141.4333,35.17,13,68,14.01,AU,1696218758
285,new norfolk,-42.7826,147.0587,22.18,18,30,4.24,AU,1696218761
286,general acha,-37.377,-64.6043,16.77,32,100,7.81,AR,1696218894
287,tazovsky,67.4667,78.7,1.17,98,100,7.98,RU,1696218770
288,al jawf,29.5,38.75,21.8,63,20,4.49,SA,1696218750
289,suihua,46.6406,126.9969,15.47,49,4,2.31,CN,1696218895
290,tvoroyri,61.5556,-6.8111,10.48,88,100,11.33,FO,1696218709
291,kamina,-8.7386,24.9906,19.17,83,12,0.25,CD,1696218895
292,aasiaat,68.7098,-52.8699,-8.02,85,18,3.94,GL,1696218704
293,luderitz,-26.6481,15.1594,15.17,78,0,2.67,NA,1696218730
294,kupang,-10.1667,123.5833,34.32,43,40,4.63,ID,1696218895
295,pago pago,-14.2781,-170.7025,25.55,94,100,9.77,AS,1696218895
296,marathon,44.9,-89.7668,22.97,82,0,3.09,US,1696218895
297,torghay,49.6339,63.4981,13.62,54,24,5.17,KZ,1696218895
298,aral,40.5156,81.2636,21.11,22,8,1.02,CN,1696218709
299,kangding,30.0513,101.9603,21.25,66,38,1.99,CN,1696218896
300,hamilton,39.1834,-84.5333,21.11,82,0,0.45,US,1696218682
301,montmorillon,46.4167,0.6667,12.94,65,45,3.0,FR,1696218896
302,antofagasta,-23.65,-70.4,15.6,85,38,2.73,CL,1696218739
303,pyu,18.4833,96.4333,26.72,91,93,4.22,MM,1696218896
304,santa maria,-29.6842,-53.8069,9.61,93,0,0.51,BR,1696218793
305,ortona,42.3496,14.4039,21.02,57,0,2.6,IT,1696218896
306,tippi,7.2,35.45,18.11,83,100,1.46,ET,1696218896
307,merizo village,13.2658,144.6691,31.31,86,11,5.69,GU,1696218896
308,mont-laurier,46.5501,-75.4993,8.79,74,75,0.79,CA,1696218896
309,aykhal,66.0,111.5,0.04,98,100,7.15,RU,1696218897
310,yaren,-0.5472,166.916,29.25,72,4,2.28,NR,1696218897
311,isangel,-19.55,169.2667,27.06,50,75,6.17,VU,1696218702
312,svetlyy,54.675,20.1347,11.87,85,14,3.53,RU,1696218897
313,arraial do cabo,-22.9661,-42.0278,20.99,97,99,2.01,BR,1696218753
314,carnarvon,-24.8667,113.6333,21.96,58,59,7.66,AU,1696218764
315,rabaul,-4.1967,152.1721,28.12,79,52,3.32,PG,1696218828
316,filadelfia,39.9523,-75.1638,20.34,86,0,1.54,US,1696218891
317,guercif,34.2257,-3.3536,21.83,64,0,1.48,MA,1696218897
318,laguna,38.421,-121.4238,20.17,58,0,0.0,US,1696218744
319,maxixe,-23.8597,35.3472,20.9,56,75,7.2,MZ,1696218897
320,zabol,32.25,67.25,15.07,16,0,2.13,AF,1696218898
321,namibe,-15.1961,12.1522,17.26,86,18,1.6,AO,1696218738
322,sanford,28.8006,-81.2731,25.16,90,75,3.6,US,1696218712
323,tura,25.5198,90.2201,27.74,81,74,2.06,IN,1696218707
324,hammerfest,70.6634,23.6821,2.25,93,75,4.12,NO,1696218898
325,aswan,24.0934,32.907,28.61,36,0,5.14,EG,1696218898
326,wulingyuan,29.3494,110.5441,19.43,87,100,1.35,CN,1696218898
327,airali,44.767,7.3219,20.28,88,25,0.75,IT,1696218898
328,illizi,26.4833,8.4667,23.89,35,0,4.32,DZ,1696218898
329,lhasa,29.65,91.1,17.9,43,76,2.41,CN,1696218898
330,bereeda,11.8704,51.0579,27.3,74,46,1.12,SO,1696218898
331,kavalerovo,44.2661,135.0572,13.64,94,70,2.24,RU,1696218899
332,darovskoy,58.77,47.9564,8.9,92,69,3.65,RU,1696218899
333,daru,-9.0763,143.2092,27.37,77,88,6.81,PG,1696218899
334,shimoda,34.6667,138.95,25.2,66,54,5.53,JP,1696218717
335,masterton,-40.9597,175.6575,13.27,90,99,9.65,NZ,1696218899
336,fortaleza,-3.7227,-38.5247,27.34,78,0,3.6,BR,1696218845
337,burang,30.25,81.1667,9.27,52,8,3.28,CN,1696218899
338,moses lake,47.1301,-119.2781,17.2,42,0,1.54,US,1696218899
339,santa sylvina,-27.8326,-61.1375,18.36,53,22,4.77,AR,1696218899
340,coahuayana de hidalgo,18.7,-103.6583,27.08,94,98,0.65,MX,1696218788
341,tayshet,55.9342,98.0044,3.72,47,100,3.59,RU,1696218900
342,kralendijk,12.15,-68.2667,29.99,79,82,2.57,BQ,1696218900
343,quatre cocos,-20.2078,57.7625,24.49,77,15,3.68,MU,1696218900
344,malakal,9.5334,31.6605,23.84,87,90,0.58,SS,1696218900
345,padang,-0.9492,100.3543,30.03,74,95,3.58,ID,1696218900
346,fort bragg,35.139,-79.006,19.33,90,0,0.45,US,1696218822
347,kolwezi,-10.7148,25.4667,19.85,49,46,2.03,CD,1696218900
348,kalmunai,7.4167,81.8167,28.84,70,95,6.05,LK,1696218704
349,el calafate,-50.3408,-72.2768,2.93,67,56,2.53,AR,1696218787
350,mili,6.0815,171.735,29.03,70,96,0.97,MH,1696218900
351,arrifes,37.7667,-25.7,19.14,73,20,5.66,PT,1696218901
352,ceerigaabo,10.6162,47.368,19.5,27,5,0.88,SO,1696218901
353,itarantim,-15.6597,-40.0656,17.98,95,50,0.77,BR,1696218901
354,shakawe,-18.3667,21.85,21.32,20,34,1.25,BW,1696218901
355,ixtapa,20.7,-105.2,28.46,91,96,0.45,MX,1696218901
356,san felipe,10.3399,-68.7425,23.81,93,91,0.98,VE,1696218901
357,rongelap,11.1635,166.8941,28.7,77,58,5.89,MH,1696218756
358,nowy dwor gdanski,54.2131,19.1177,13.87,93,6,2.21,PL,1696218901
359,san jose del cabo,23.0589,-109.6977,30.6,71,20,2.57,MX,1696218902
360,buala,-8.145,159.5921,29.61,72,92,4.8,SB,1696218902
361,lompoc,34.6391,-120.4579,15.56,84,0,3.58,US,1696218750
362,mo i rana,66.3128,14.1428,4.07,91,20,0.0,NO,1696218902
363,bam,29.106,58.357,26.58,17,0,0.52,IR,1696218727
364,acarau,-2.8856,-40.12,25.22,85,21,5.99,BR,1696218794
